Rank,Track,Artist,Streams,year,Album_Name,Duration_MS,Explicit,Track_Number_on_Album,Artist_Followers
164,Walk On Water (feat. Beyoncé),Eminem,4059471,2018,Revival,303640,TRUE,1,43728461
165,DNA.,Kendrick Lamar,4051265,2018,DAMN.,185946,TRUE,2,17080939
166,A Different Way (with Lauv),DJ Snake,4041480,2018,A Different Way (with Lauv),198285,FALSE,1,7312319
167,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,4031694,2018,Luv Is Rage 2,221746,TRUE,5,11220496
168,Cheap Thrills,Sia,3967889,2018,This Is Acting,211666,FALSE,6,19372337
169,Olha a Explosão,MC Kevinho,3840017,2018,Olha a Explosão,161593,TRUE,1,7522349
170,24K Magic,Bruno Mars,3810339,2018,24K Magic,225983,FALSE,1,29942000
171,Dreamer,Axwell /\ Ingrosso,3792747,2018,More Than You Know,251147,FALSE,13,2282314
172,Dubai Shit,Huncho Jack,3781196,2018,"Huncho Jack, Jack Huncho",228431,TRUE,8,837698
173,El Farsante,Ozuna,3769708,2018,Odisea,233826,FALSE,13,27797552
174,...Ready For It?,Taylor Swift,3729605,2018,reputation,208186,FALSE,1,38902703
175,Bad and Boujee (feat. Lil Uzi Vert),Migos,3711873,2018,Culture,343150,TRUE,4,11354618
176,Never Enough,Loren Allred,3711418,2018,The Greatest Showman (Original Motion Picture Soundtrack),207786,FALSE,6,84493
177,Pumped Up Kicks,Foster The People,3684926,2018,Torches,239600,FALSE,2,3165534
178,Good Old Days (feat. Kesha),Macklemore,3660553,2018,GEMINI,240506,FALSE,6,1712424
179,There for You,Martin Garrix,3652678,2018,There for You,221904,FALSE,1,14595128
180,Hey Ya!,Outkast,3635414,2018,Speakerboxxx/The Love Below,235213,FALSE,9,1631455
181,Look At Me!,XXXTENTACION,3605275,2018,Revenge,126345,TRUE,1,26792113
182,Hey DJ,CNCO,3603304,2018,Hey DJ,205520,FALSE,1,7592885
183,Was du Liebe nennst,Bausa,3600702,2018,Was Du Liebe nennst,203630,FALSE,1,945996
184,Quiero Repetir,Ozuna,3596188,2018,Odisea,200986,FALSE,8,27797552
185,Sign of the Times,Harry Styles,3582590,2018,Harry Styles,340706,FALSE,2,14124053
186,Chambea,Bad Bunny,3557919,2018,Chambea,191999,TRUE,1,32304467
187,Síguelo Bailando,Ozuna,3550311,2018,Odisea,226800,FALSE,11,27797552
188,Delicate,Taylor Swift,3544827,2018,reputation,232253,FALSE,5,38902703
189,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3542909,2018,Curtain Call (Deluxe),326466,TRUE,6,43728461
190,Loco Enamorado,Abraham Mateo,3518291,2018,Loco Enamorado,252200,FALSE,1,1223916
191,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,3517918,2018,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",236001,FALSE,1,10653835
192,A Million Dreams,Ziv Zaifman,3514340,2018,The Greatest Showman (Original Motion Picture Soundtrack),269453,FALSE,2,8846
193,Let Me Love You,DJ Snake,3504950,2018,Encore,205946,FALSE,13,7312319
194,GUMMO,6ix9ine,3478052,2018,GUMMO,157643,TRUE,1,6419472
195,September,"Earth, Wind & Fire",3476906,2018,"Now, Then & Forever",216520,FALSE,13,2846882
196,La Modelo,Ozuna,3475428,2018,La Modelo (feat. Cardi B),256551,FALSE,1,27797552
197,The Weekend - Funk Wav Remix,SZA,3461444,2018,The Weekend (Funk Wav Remix),171805,FALSE,1,5096754
198,Agora Vai Sentar,MC's Jhowzinho & Kadinho,3457583,2018,Agora Vai Sentar,228922,FALSE,1,924430
199,Déjate Llevar,Juan Magán,3445360,2018,Déjate Llevar,233071,FALSE,1,1564818
200,Wonderwall - Remastered,Oasis,3433897,2018,(What's The Story) Morning Glory? [Remastered],258773,FALSE,3,6149428
1,rockstar,Post Malone,29389063,2018,rockstar,218320,TRUE,1,32192178
2,Havana,Camila Cabello,25726393,2018,Havana,216896,FALSE,1,21110469
3,River (feat. Ed Sheeran),Eminem,23547146,2018,Revival,221013,TRUE,5,43728461
4,New Rules,Dua Lipa,20861932,2018,Dua Lipa (Deluxe),209320,FALSE,10,24169380
5,Wolves,Selena Gomez,20579700,2018,Wolves,197993,FALSE,1,26725031
6,Finesse - Remix; feat. Cardi B,Bruno Mars,19454391,2018,Finesse (Remix) [feat. Cardi B],217288,FALSE,1,29942000
7,Him & I (with Halsey),G-Eazy,19156433,2018,The Beautiful & Damned,268866,TRUE,3,4818368
8,Échame La Culpa,Luis Fonsi,18756186,2018,Échame La Culpa,173720,FALSE,1,9350913
9,Let You Down,NF,18177099,2018,Perception,212120,FALSE,6,5321531
10,Perfect,Ed Sheeran,18173539,2018,÷ (Deluxe),263400,FALSE,5,78967872
11,What Lovers Do (feat. SZA),Maroon 5,16716527,2018,Red Pill Blues (Deluxe),199849,FALSE,2,30323494
12,Too Good At Goodbyes,Sam Smith,15768793,2018,The Thrill Of It All (Special Edition),201000,FALSE,1,16161094
13,Silence,Marshmello,15361344,2018,Silence,180822,FALSE,1,30270515
14,I Fall Apart,Post Malone,15302103,2018,Stoney (Deluxe),223346,TRUE,7,32192178
15,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,15200900,2018,Perfect Duet (Ed Sheeran & Beyoncé),259550,FALSE,1,78967872
16,Shape of You,Ed Sheeran,14968406,2018,÷ (Deluxe),233712,FALSE,4,78967872
17,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,14630730,2018,"Let Me Go (with Alesso, Florida Georgia Line & watt)",174800,FALSE,1,6691684
18,No Limit,G-Eazy,14134442,2018,The Beautiful & Damned,245386,TRUE,7,4818368
19,All The Stars (with SZA),Kendrick Lamar,14130083,2018,All The Stars (with SZA),235540,TRUE,1,17080939
20,Corazón,Maluma,13766534,2018,Corazón,184066,FALSE,1,25103199
21,Gucci Gang,Lil Pump,13747302,2018,Lil Pump,124055,TRUE,2,7636298
22,Bartier Cardi (feat. 21 Savage),Cardi B,13417677,2018,Bartier Cardi (feat. 21 Savage),224613,TRUE,1,15813726
23,I Miss You (feat. Julia Michaels),Clean Bandit,12939221,2018,I Miss You (feat. Julia Michaels),205747,FALSE,1,4296325
24,Dusk Till Dawn - Radio Edit,ZAYN,12919842,2018,Dusk Till Dawn (Radio Edit),239000,FALSE,1,15423979
25,Filthy,Justin Timberlake,12412065,2018,Filthy,293946,FALSE,1,10653835
26,Downtown,Anitta,12408536,2018,Downtown,193456,FALSE,1,10449455
27,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,12362698,2018,All Your Fault: Pt. 2,163870,FALSE,6,6304238
28,Sensualidad,Bad Bunny,12037684,2018,Sensualidad,297485,FALSE,1,32304467
29,Criminal,Natti Natasha,11479256,2018,Criminal,232549,FALSE,1,5811247
30,Thunder,Imagine Dragons,11413447,2018,Evolve,187146,FALSE,9,33692509
31,How Long,Charlie Puth,11092875,2018,How Long,198237,FALSE,1,12860533
32,XO Tour Llif3,Lil Uzi Vert,10824651,2018,Luv Is Rage 2,182706,TRUE,16,11220496
33,Young Dumb & Broke,Khalid,10771760,2018,American Teen,202546,FALSE,2,13736355
34,Candy Paint,Post Malone,10664025,2018,Candy Paint,229573,TRUE,1,32192178
35,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,10340574,2018,Déjala Que Vuelva (feat. Manuel Turizo),220116,FALSE,1,6865509
36,Never Be the Same,Camila Cabello,10312491,2018,Never Be the Same,227087,FALSE,1,21110469
37,Ric Flair Drip (& Metro Boomin),Offset,10278215,2018,Without Warning,172800,TRUE,3,2010264
38,Feel It Still,Portugal. The Man,10243780,2018,Woodstock,163253,FALSE,4,1217767
39,Congratulations,Post Malone,10180401,2018,Stoney (Deluxe),220293,TRUE,12,32192178
40,Anywhere,Rita Ora,9899862,2018,Anywhere,215064,FALSE,1,6545869
41,Unforgettable,French Montana,9806474,2018,Jungle Rules,233901,TRUE,2,3903377
42,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,9799207,2018,So Far Away (feat. Jamie Scott & Romy Dya),183636,FALSE,1,14595128
43,Mi Gente,J Balvin,9721263,2018,Mi Gente,189440,FALSE,1,27317844
44,HUMBLE.,Kendrick Lamar,9511338,2018,DAMN.,177000,TRUE,8,17080939
45,1-800-273-8255,Logic,9456832,2018,Everybody,250173,TRUE,10,5304761
46,Se Preparó,Ozuna,9426816,2018,Odisea,188080,FALSE,3,27797552
47,Stargazing,Kygo,9229739,2018,Stargazing - EP,236853,FALSE,1,7372033
48,LOVE. FEAT. ZACARI.,Kendrick Lamar,8915141,2018,DAMN.,213400,TRUE,10,17080939
49,Mayores,Becky G,8747519,2018,Mayores,202453,FALSE,1,10032313
50,Codeine Dreaming (feat. Lil Wayne),Kodak Black,8413714,2018,Project Baby 2: All Grown Up (Deluxe Edition),264531,TRUE,20,6924083
51,Me Rehúso,Danny Ocean,8391379,2018,Me Rehúso,205714,FALSE,1,2906567
52,This Is Me,Keala Settle,8261535,2018,This Is Me,234706,FALSE,1,138181
53,Tip Toe (feat. French Montana),Jason Derulo,8164648,2018,Tip Toe (feat. French Montana),187521,FALSE,1,9235751
54,Bank Account,21 Savage,8115098,2018,Issa Album,220306,TRUE,1,9486493
55,All Falls Down (feat. Juliander),Alan Walker,8009107,2018,All Falls Down (feat. Juliander),199111,FALSE,1,28057563
56,Attention,Charlie Puth,7986241,2018,Attention,211475,FALSE,1,12860533
57,Rewrite The Stars,Zac Efron,7796082,2018,Rewrite The Stars,217440,FALSE,1,711394
58,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,7716698,2018,"For You (Fifty Shades Freed) [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",244293,FALSE,1,7560792
59,Sorry Not Sorry,Demi Lovato,7634818,2018,Tell Me You Love Me (Deluxe),203760,TRUE,1,19560892
60,Lonely Together (feat. Rita Ora),Avicii,7594984,2018,AVĪCI (01),181812,FALSE,2,19551600
61,Something Just Like This,The Chainsmokers,7560288,2018,Memories...Do Not Open,247160,FALSE,5,17742887
62,IDGAF,Dua Lipa,7484060,2018,Dua Lipa (Deluxe),217946,TRUE,5,24169380
63,MotorSport,Migos,7413442,2018,MotorSport,307660,TRUE,1,11354618
64,I Like Me Better,Lauv,7405512,2018,I Like Me Better,197436,FALSE,1,4160159
65,Man's Not Hot,Big Shaq,7297271,2018,Man's Not Hot,186026,FALSE,1,318865
